INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
389-ds-base-1.3.7.1-2.fc27.i686                   
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.i686
├─libpthread.so.0                                 glibc-2.26-1.fc27.1.i686
├─libpthread.so.0(GLIBC_2.0)                      glibc-2.26-1.fc27.1.i686
├─perl(strict)                                    perl-libs-4:5.26.0-398.fc27.i686
├─perl(:MODULE_COMPAT_5.26.0)                     perl-libs-4:5.26.0-398.fc27.i686
├─libdl.so.2                                      glibc-2.26-1.fc27.1.i686
├─perl(warnings)                                  perl-libs-4:5.26.0-398.fc27.i686
├─perl(Carp)                                      perl-Carp-1.42-394.fc27.noarch
├─libpthread.so.0(GLIBC_2.1)                      glibc-2.26-1.fc27.1.i686
├─perl(Exporter)                                  perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                      perl-interpreter-4:5.26.0-398.fc27.i686
├─/usr/bin/env                                    coreutils-8.27-14.fc27.i686
├─libdl.so.2(GLIBC_2.0)                           glibc-2.26-1.fc27.1.i686
├─libdl.so.2(GLIBC_2.1)                           glibc-2.26-1.fc27.1.i686
├─libpthread.so.0(GLIBC_2.2)                      glibc-2.26-1.fc27.1.i686
├─/usr/bin/perl                                   perl-interpreter-4:5.26.0-398.fc27.i686
├─/usr/bin/python3                                python3-3.6.2-6.fc27.i686
├─perl(Getopt::Long)                              perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(Scalar::Util)                              perl-Scalar-List-Utils-3:1.48-1.fc27.i686
├─perl(File::Spec)                                perl-PathTools-3.67-395.fc27.i686
├─perl(POSIX)                                     perl-interpreter-4:5.26.0-398.fc27.i686
├─perl(File::Basename)                            perl-interpreter-4:5.26.0-398.fc27.i686
├─libc.so.6(GLIBC_2.17)                           glibc-2.26-1.fc27.1.i686
├─libcrypt.so.1                                   libcrypt-2.26-1.fc27.1.i686
├─perl(Cwd)                                       perl-PathTools-3.67-395.fc27.i686
├─perl(File::Temp)                                perl-File-Temp-0.230.400-394.fc27.noarch
├─perl(DynaLoader)                                perl-interpreter-4:5.26.0-398.fc27.i686
├─perl(Config)                                    perl-interpreter-4:5.26.0-398.fc27.i686
├─perl(File::Path)                                perl-File-Path-2.15-1.fc27.noarch
├─libpcre.so.1                                    pcre-8.41-1.fc27.2.i686
├─perl(IO::File)                                  perl-IO-1.38-398.fc27.i686
├─libcom_err.so.2                                 libcom_err-1.43.4-4.fc27.i686
├─libsystemd.so.0                                 systemd-libs-234-5.fc27.i686
├─perl(File::Copy)                                perl-interpreter-4:5.26.0-398.fc27.i686
├─libkrb5.so.3                                    krb5-libs-1.15.1-21.fc27.i686
├─perl(Socket)                                    perl-Socket-4:2.024-5.fc27.i686
├─libnspr4.so                                     nspr-4.16.0-1.fc27.i686
├─libpam.so.0                                     pam-1.3.0-5.fc27.i686
├─libnss3.so                                      nss-3.32.0-2.fc27.i686
├─libk5crypto.so.3                                krb5-libs-1.15.1-21.fc27.i686
├─perl(MIME::Base64)                              perl-MIME-Base64-3.15-395.fc27.i686
├─perl(lib)                                       perl-interpreter-4:5.26.0-398.fc27.i686
├─libplc4.so                                      nspr-4.16.0-1.fc27.i686
├─libcrypt.so.1(GLIBC_2.0)                        libcrypt-2.26-1.fc27.1.i686
