INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
389-ds-base-1.3.7.1-2.fc27.ppc64le                
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.ppc64le
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0(GLIBC_2.17)(64bit)              glibc-2.26-1.fc27.1.ppc64le
├─perl(strict)                                    perl-libs-4:5.26.0-398.fc27.ppc64le
├─perl(:MODULE_COMPAT_5.26.0)                     perl-libs-4:5.26.0-398.fc27.ppc64le
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.ppc64le
├─perl(warnings)                                  perl-libs-4:5.26.0-398.fc27.ppc64le
├─perl(Carp)                                      perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                  perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                      perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─/usr/bin/env                                    coreutils-8.27-14.fc27.ppc64le
├─libdl.so.2(GLIBC_2.17)(64bit)                   glibc-2.26-1.fc27.1.ppc64le
├─/usr/bin/perl                                   perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─/usr/bin/python3                                python3-3.6.2-6.fc27.ppc64le
├─perl(Getopt::Long)                              perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(Scalar::Util)                              perl-Scalar-List-Utils-3:1.48-1.fc27.ppc64le
├─perl(File::Spec)                                perl-PathTools-3.67-395.fc27.ppc64le
├─perl(POSIX)                                     perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─perl(File::Basename)                            perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─libcrypt.so.1()(64bit)                          libcrypt-2.26-1.fc27.1.ppc64le
├─perl(Cwd)                                       perl-PathTools-3.67-395.fc27.ppc64le
├─perl(File::Temp)                                perl-File-Temp-0.230.400-394.fc27.noarch
├─perl(DynaLoader)                                perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─perl(Config)                                    perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─perl(File::Path)                                perl-File-Path-2.15-1.fc27.noarch
├─perl(IO::File)                                  perl-IO-1.38-398.fc27.ppc64le
├─libpcre.so.1()(64bit)                           pcre-8.41-1.fc27.2.ppc64le
├─libcom_err.so.2()(64bit)                        libcom_err-1.43.4-4.fc27.ppc64le
├─perl(File::Copy)                                perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─libkrb5.so.3()(64bit)                           krb5-libs-1.15.1-21.fc27.ppc64le
├─perl(Socket)                                    perl-Socket-4:2.024-5.fc27.ppc64le
├─libsystemd.so.0()(64bit)                        systemd-libs-234-5.fc27.ppc64le
├─libnspr4.so()(64bit)                            nspr-4.16.0-1.fc27.ppc64le
├─libpam.so.0()(64bit)                            pam-1.3.0-5.fc27.ppc64le
├─libnss3.so()(64bit)                             nss-3.32.0-2.fc27.ppc64le
├─libk5crypto.so.3()(64bit)                       krb5-libs-1.15.1-21.fc27.ppc64le
├─perl(MIME::Base64)                              perl-MIME-Base64-3.15-395.fc27.ppc64le
├─perl(lib)                                       perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─libplc4.so()(64bit)                             nspr-4.16.0-1.fc27.ppc64le
├─liblber-2.4.so.2()(64bit)                       openldap-2.4.45-3.fc27.ppc64le
├─libpam.so.0(LIBPAM_1.0)(64bit)                  pam-1.3.0-5.fc27.ppc64le
├─libplds4.so()(64bit)                            nspr-4.16.0-1.fc27.ppc64le
├─libldap-2.4.so.2()(64bit)                       openldap-2.4.45-3.fc27.ppc64le
├─libssl3.so()(64bit)                             nss-3.32.0-2.fc27.ppc64le
├─libcrypt.so.1(GLIBC_2.17)(64bit)                libcrypt-2.26-1.fc27.1.ppc64le
├─libsystemd.so.0(LIBSYSTEMD_209)(64bit)          systemd-libs-234-5.fc27.ppc64le
├─libicuuc.so.57()(64bit)                         libicu-57.1-4.fc26.ppc64le
├─perl(Getopt::Std)                               perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─perl(File::Spec::Functions)                     perl-PathTools-3.67-395.fc27.ppc64le
├─libicui18n.so.57()(64bit)                       libicu-57.1-4.fc26.ppc64le
├─libdb-5.3.so()(64bit)                           libdb-5.3.28-26.fc27.ppc64le
├─libsasl2.so.3()(64bit)                          cyrus-sasl-lib-2.1.26-34.fc27.ppc64le
├─libnss3.so(NSS_3.2)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─perl(Time::Local)                               perl-Time-Local-1:1.250-394.fc27.noarch
├─perl(Sys::Hostname)                             perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─libicudata.so.57()(64bit)                       libicu-57.1-4.fc26.ppc64le
├─libnss3.so(NSS_3.3)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.4)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libevent-2.0.so.5()(64bit)                      libevent-2.0.22-3.fc27.ppc64le
├─libldap_r-2.4.so.2()(64bit)                     openldap-2.4.45-3.fc27.ppc64le
├─libssl3.so(NSS_3.2)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─perl(Archive::Tar)                              perl-Archive-Tar-2.26-3.fc27.noarch
├─libnss3.so(NSS_3.12)(64bit)                     nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.9.2)(64bit)                    nss-3.32.0-2.fc27.ppc64le
├─policycoreutils-python-utils                    policycoreutils-python-utils-2.7-1.fc27.ppc64le
├─nss-tools                                       nss-tools-3.32.0-2.fc27.ppc64le
├─bind-utils                                      bind-utils-32:9.11.1-4.P3.fc27.ppc64le
├─libssl3.so(NSS_3.14)(64bit)                     nss-3.32.0-2.fc27.ppc64le
├─perl(sigtrap)                                   perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─libssl3.so(NSS_3.7.4)(64bit)                    nss-3.32.0-2.fc27.ppc64le
├─perl(DB_File)                                   perl-DB_File-1.840-394.fc27.ppc64le
├─/usr/sbin/semanage                              policycoreutils-python-utils-2.7-1.fc27.ppc64le
├─openldap-clients                                openldap-clients-2.4.45-3.fc27.ppc64le
├─systemd-libs                                    systemd-libs-234-5.fc27.ppc64le
├─cyrus-sasl-gssapi                               cyrus-sasl-gssapi-2.1.26-34.fc27.ppc64le
├─libdb-utils                                     libdb-utils-5.3.28-26.fc27.ppc64le
├─libsvrcore.so.0()(64bit)                        svrcore-4.1.3-1.fc27.ppc64le
├─perl-Mozilla-LDAP                               perl-Mozilla-LDAP-1.5.3-22.fc27.ppc64le
├─perl-Socket                                     perl-Socket-4:2.024-5.fc27.ppc64le
├─cyrus-sasl-md5                                  cyrus-sasl-md5-2.1.26-34.fc27.ppc64le
├─libsemanage-python                              libsemanage-python-2.7-1.fc27.ppc64le
├─perl(Mozilla::LDAP::API)                        perl-Mozilla-LDAP-1.5.3-22.fc27.ppc64le
├─perl(Mozilla::LDAP::Conn)                       perl-Mozilla-LDAP-1.5.3-22.fc27.ppc64le
├─perl(Mozilla::LDAP::Utils)                      perl-Mozilla-LDAP-1.5.3-22.fc27.ppc64le
├─libldaputil.so.0()(64bit)                       389-ds-base-libs-1.3.7.1-2.fc27.ppc64le
├─libnunc-stans.so.0()(64bit)                     389-ds-base-libs-1.3.7.1-2.fc27.ppc64le
├─libsds.so.0()(64bit)                            389-ds-base-libs-1.3.7.1-2.fc27.ppc64le
├─libslapd.so.0()(64bit)                          389-ds-base-libs-1.3.7.1-2.fc27.ppc64le
├─perl(IO::Uncompress::AnyUncompress)             perl-IO-Compress-2.074-394.fc27.noarch
├─perl(Mozilla::LDAP::LDIF)                       perl-Mozilla-LDAP-1.5.3-22.fc27.ppc64le
├─perl-NetAddr-IP                                 perl-NetAddr-IP-4.079-4.fc27.ppc64le
├─libns-dshttpd-1.3.7.1.so()(64bit)               389-ds-base-libs-1.3.7.1-2.fc27.ppc64le
├─perl(DB)                                        perl-interpreter-4:5.26.0-398.fc27.ppc64le
├─perl(NetAddr::IP::Util)                         perl-NetAddr-IP-4.079-4.fc27.ppc64le
├─389-ds-base-libs = 1.3.7.1-2.fc27               389-ds-base-libs-1.3.7.1-2.fc27.ppc64le
├─perl-Errno >= 1.23-360                          perl-Errno-1.28-398.fc27.ppc64le
└─svrcore >= 4.1.3                                svrcore-4.1.3-1.fc27.ppc64le
389-ds-base-libs-1.3.7.1-2.fc27.ppc64le           
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.ppc64le
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.ppc64le
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.ppc64le
├─libgcc_s.so.1()(64bit)                          libgcc-7.1.1-7.fc27.1.ppc64le
├─libstdc++.so.6()(64bit)                         libstdc++-7.1.1-7.fc27.1.ppc64le
├─libpthread.so.0(GLIBC_2.17)(64bit)              glibc-2.26-1.fc27.1.ppc64le
├─libpcre.so.1()(64bit)                           pcre-8.41-1.fc27.2.ppc64le
├─libcom_err.so.2()(64bit)                        libcom_err-1.43.4-4.fc27.ppc64le
├─libkrb5.so.3()(64bit)                           krb5-libs-1.15.1-21.fc27.ppc64le
├─libsystemd.so.0()(64bit)                        systemd-libs-234-5.fc27.ppc64le
├─libnspr4.so()(64bit)                            nspr-4.16.0-1.fc27.ppc64le
├─libnss3.so()(64bit)                             nss-3.32.0-2.fc27.ppc64le
├─libk5crypto.so.3()(64bit)                       krb5-libs-1.15.1-21.fc27.ppc64le
├─libplc4.so()(64bit)                             nspr-4.16.0-1.fc27.ppc64le
├─liblber-2.4.so.2()(64bit)                       openldap-2.4.45-3.fc27.ppc64le
├─libplds4.so()(64bit)                            nspr-4.16.0-1.fc27.ppc64le
├─libssl3.so()(64bit)                             nss-3.32.0-2.fc27.ppc64le
├─libsasl2.so.3()(64bit)                          cyrus-sasl-lib-2.1.26-34.fc27.ppc64le
├─libnss3.so(NSS_3.2)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libkrb5.so.3(krb5_3_MIT)(64bit)                 krb5-libs-1.15.1-21.fc27.ppc64le
├─libnss3.so(NSS_3.3)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.4)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libevent-2.0.so.5()(64bit)                      libevent-2.0.22-3.fc27.ppc64le
├─libldap_r-2.4.so.2()(64bit)                     openldap-2.4.45-3.fc27.ppc64le
├─libssl3.so(NSS_3.2)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.12)(64bit)                     nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.6)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.9)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libssl3.so(NSS_3.14)(64bit)                     nss-3.32.0-2.fc27.ppc64le
├─libssl3.so(NSS_3.12.6)(64bit)                   nss-3.32.0-2.fc27.ppc64le
├─libssl3.so(NSS_3.4)(64bit)                      nss-3.32.0-2.fc27.ppc64le
├─libnss3.so(NSS_3.10.2)(64bit)                   nss-3.32.0-2.fc27.ppc64le
├─libevent                                        libevent-2.0.22-3.fc27.ppc64le
├─libsvrcore.so.0()(64bit)                        svrcore-4.1.3-1.fc27.ppc64le
└─libssl3.so(NSS_3.20)(64bit)                     nss-3.32.0-2.fc27.ppc64le
bind-utils-32:9.11.1-4.P3.fc27.ppc64le            
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.ppc64le
├─libc.so.6(GLIBC_2.17)(64bit)                    glibc-2.26-1.fc27.1.ppc64le
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0(GLIBC_2.17)(64bit)              glibc-2.26-1.fc27.1.ppc64le
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.ppc64le
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.ppc64le
├─libxml2.so.2()(64bit)                           libxml2-2.9.4-4.fc27.ppc64le
├─/usr/bin/python3                                python3-3.6.2-6.fc27.ppc64le
├─libcrypto.so.1.1()(64bit)                       openssl-libs-1:1.1.0f-9.fc27.ppc64le
