libICE,"required as a dependency of java module"
libSM,"required as a dependency of java module"
libX11,"required as a dependency of java, python2, python3"
libX11-common,"required as a dependency of java, python2, python3"
libXau,"required as a dependency of java, python2, python3"
libXcomposite,"required as a dependency of java"
libXext,"required as a dependency of java"
libXfont,"required as a dependency of java"
libXft,"required as a dependency of python2, python3"
libXi,"required as a dependency of java"
libXrender,"required as a dependency of java, python2, python3"
libXtst,"required as a dependency of java"
libfontenc,"required as a dependency of java module"
libtiff,"required as a dependency of other modules - might go into platform"
libxcb,"required as a dependency of java, python2, python3"
