INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
autoconf-2.69-24.fc26.noarch                      
├─perl(strict)                                    perl-libs-4:5.26.0-398.fc27.aarch64
├─perl(warnings)                                  perl-libs-4:5.26.0-398.fc27.aarch64
├─perl(Carp)                                      perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                  perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                      perl-interpreter-4:5.26.0-398.fc27.aarch64
├─/usr/bin/perl                                   perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(constant)                                  perl-constant-1.33-395.fc27.noarch
├─perl(Getopt::Long)                              perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(File::Spec)                                perl-PathTools-3.67-395.fc27.aarch64
├─perl(POSIX)                                     perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(File::Basename)                            perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(Data::Dumper)                              perl-Data-Dumper-2.167-396.fc27.aarch64
├─perl(Cwd)                                       perl-PathTools-3.67-395.fc27.aarch64
├─perl(DynaLoader)                                perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(File::Path)                                perl-File-Path-2.15-1.fc27.noarch
├─perl(IO::File)                                  perl-IO-1.38-398.fc27.aarch64
├─perl(File::Copy)                                perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(File::Find)                                perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(Errno)                                     perl-Errno-1.28-398.fc27.aarch64
├─perl(Text::ParseWords)                          perl-Text-ParseWords-3.30-394.fc27.noarch
├─perl(File::stat)                                perl-interpreter-4:5.26.0-398.fc27.aarch64
├─emacs-filesystem                                emacs-filesystem-1:25.2-7.fc27.noarch
├─perl(Class::Struct)                             perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(File::Compare)                             perl-interpreter-4:5.26.0-398.fc27.aarch64
├─perl(:VERSION) >= 5.6.0                         perl-libs-4:5.26.0-398.fc27.aarch64
└─m4 >= 1.4.14                                    m4-1.4.18-3.fc26.aarch64
automake-1.15-9.fc26.noarch                       
├─perl(strict)                                    perl-libs-4:5.26.0-398.fc27.aarch64
├─perl(warnings)                                  perl-libs-4:5.26.0-398.fc27.aarch64
├─perl(Carp)                                      perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                  perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                      perl-interpreter-4:5.26.0-398.fc27.aarch64
