INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                            MATCH
autoconf-2.69-24.fc26.src                                                       
├─perl-generators                                                               perl-generators-1.10-5.fc27.noarch
├─perl(Data::Dumper)                                                            perl-Data-Dumper-2.167-396.fc27.i686
├─gcc-gfortran                                                                  gcc-gfortran-7.1.1-7.fc27.1.i686
├─help2man                                                                      help2man-1.47.4-2.fc26.noarch
├─emacs                                                                         emacs-1:25.2-2.fc27.i686
├─perl(Text::ParseWords)                                                        perl-Text-ParseWords-3.30-394.fc27.noarch
├─erlang                                                                        erlang-19.3.6.1-1.fc27.i686
├─perl-macros                                                                   perl-macros-4:5.26.0-398.fc27.i686
└─m4 >= 1.4.14                                                                  m4-1.4.18-3.fc26.i686
automake-1.15-9.fc26.src                                                        
├─perl-generators                                                               perl-generators-1.10-5.fc27.noarch
├─libtool                                                                       libtool-2.4.6-20.fc27.i686
├─automake                                                                      automake-1.15-9.fc26.noarch
├─flex                                                                          flex-2.6.1-3.fc26.i686
├─bison                                                                         bison-3.0.4-6.fc26.i686
├─gettext-devel                                                                 gettext-devel-0.19.8.1-9.fc27.i686
├─vala                                                                          vala-0.36.4-3.fc27.i686
├─gcc-gfortran                                                                  gcc-gfortran-7.1.1-7.fc27.1.i686
├─help2man                                                                      help2man-1.47.4-2.fc26.noarch
├─emacs                                                                         emacs-1:25.2-2.fc27.i686
├─python-docutils                                                               python2-docutils-0.13.1-4.fc26.noarch
├─texinfo-tex                                                                   texinfo-tex-6.4-3.fc27.i686
├─imake                                                                         imake-1.0.7-7.fc26.i686
├─dejagnu                                                                       dejagnu-1:1.6-2.fc26.noarch
├─sharutils                                                                     sharutils-4.15.2-5.fc26.i686
├─python-virtualenv                                                             python2-virtualenv-15.1.0-1.fc27.noarch
├─expect                                                                        expect-5.45-25.fc27.i686
├─gcc-objc                                                                      gcc-objc-7.1.1-7.fc27.1.i686
├─lzip                                                                          lzip-1.19-1.fc27.i686
├─texlive-dvips                                                                 texlive-dvips-6:svn41149-35.fc27.1.noarch
├─ncompress                                                                     ncompress-4.2.4.4-7.fc26.i686
├─perl(Thread::Queue)                                                           perl-Thread-Queue-3.12-393.fc27.noarch
├─java-devel-openjdk                                                            java-1.8.0-openjdk-devel-1:1.8.0.131-7.b12.fc27.i686
├─perl-macros                                                                   perl-macros-4:5.26.0-398.fc27.i686
├─cscope                                                                        cscope-15.8b-4.fc26.i686
├─gcc-objc++                                                                    gcc-objc++-7.1.1-7.fc27.1.i686
└─autoconf >= 2.65                                                              autoconf-2.69-24.fc26.noarch
emacs-1:25.2-2.fc27.i686                                                        
├─rtld(GNU_HASH)                                                                glibc-2.26-1.fc27.1.i686
├─libm.so.6                                                                     glibc-2.26-1.fc27.1.i686
├─libpthread.so.0                                                               glibc-2.26-1.fc27.1.i686
├─libgcc_s.so.1                                                                 libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                                        libgcc-7.1.1-7.fc27.1.i686
├─libpthread.so.0(GLIBC_2.0)                                                    glibc-2.26-1.fc27.1.i686
├─libm.so.6(GLIBC_2.0)                                                          glibc-2.26-1.fc27.1.i686
├─libdl.so.2                                                                    glibc-2.26-1.fc27.1.i686
├─libglib-2.0.so.0                                                              glib2-2.53.5-1.fc27.i686
├─libgobject-2.0.so.0                                                           glib2-2.53.5-1.fc27.i686
├─libz.so.1                                                                     zlib-1.2.11-4.fc27.i686
├─libgio-2.0.so.0                                                               glib2-2.53.5-1.fc27.i686
├─libm.so.6(GLIBC_2.1)                                                          glibc-2.26-1.fc27.1.i686
├─libpthread.so.0(GLIBC_2.1)                                                    glibc-2.26-1.fc27.1.i686
├─libcairo.so.2                                                                 cairo-1.14.10-4.fc27.i686
├─libgdk_pixbuf-2.0.so.0                                                        gdk-pixbuf2-2.36.7-1.fc27.i686
├─libpango-1.0.so.0                                                             pango-1.40.7-1.fc27.i686
├─libc.so.6(GLIBC_2.15)                                                         glibc-2.26-1.fc27.1.i686
├─libX11.so.6                                                                   libX11-1.6.5-4.fc27.i686
├─libpangocairo-1.0.so.0                                                        pango-1.40.7-1.fc27.i686
├─libatk-1.0.so.0                                                               atk-2.25.2-1.fc27.i686
├─libdl.so.2(GLIBC_2.0)                                                         glibc-2.26-1.fc27.1.i686
├─libfreetype.so.6                                                              freetype-2.8-5.fc27.i686
├─libdl.so.2(GLIBC_2.1)                                                         glibc-2.26-1.fc27.1.i686
├─librt.so.1                                                                    glibc-2.26-1.fc27.1.i686
