INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
bind-32:9.11.1-4.P3.fc27.x86_64                   
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libxml2.so.2()(64bit)                           libxml2-2.9.4-4.fc27.x86_64
├─/bin/bash                                       bash-4.4.12-9.fc27.x86_64
├─libcrypto.so.1.1()(64bit)                       openssl-libs-1:1.1.0f-9.fc27.x86_64
├─libxml2.so.2(LIBXML2_2.4.30)(64bit)             libxml2-2.9.4-4.fc27.x86_64
├─libcrypto.so.1.1(OPENSSL_1_1_0)(64bit)          openssl-libs-1:1.1.0f-9.fc27.x86_64
├─libxml2.so.2(LIBXML2_2.6.0)(64bit)              libxml2-2.9.4-4.fc27.x86_64
├─coreutils                                       coreutils-8.27-14.fc27.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libcom_err.so.2()(64bit)                        libcom_err-1.43.4-4.fc27.x86_64
├─libkrb5.so.3()(64bit)                           krb5-libs-1.15.1-21.fc27.x86_64
├─libk5crypto.so.3()(64bit)                       krb5-libs-1.15.1-21.fc27.x86_64
├─libgssapi_krb5.so.2()(64bit)                    krb5-libs-1.15.1-21.fc27.x86_64
├─libcap.so.2()(64bit)                            libcap-2.25-7.fc27.x86_64
├─libGeoIP.so.1()(64bit)                          GeoIP-1.6.11-1.fc27.x86_64
├─libxml2.so.2(LIBXML2_2.6.3)(64bit)              libxml2-2.9.4-4.fc27.x86_64
├─libdns.so.168()(64bit)                          bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
├─libisc.so.166()(64bit)                          bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
├─libisccfg.so.160()(64bit)                       bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
├─libbind9.so.160()(64bit)                        bind-libs-32:9.11.1-4.P3.fc27.x86_64
├─liblwres.so.160()(64bit)                        bind-libs-32:9.11.1-4.P3.fc27.x86_64
├─libisccc.so.160()(64bit)                        bind-libs-32:9.11.1-4.P3.fc27.x86_64
└─bind-libs(x86-64) = 32:9.11.1-4.P3.fc27         bind-libs-32:9.11.1-4.P3.fc27.x86_64
bind-libs-32:9.11.1-4.P3.fc27.x86_64              
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libc.so.6(GLIBC_2.15)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libxml2.so.2()(64bit)                           libxml2-2.9.4-4.fc27.x86_64
├─libcrypto.so.1.1()(64bit)                       openssl-libs-1:1.1.0f-9.fc27.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libcom_err.so.2()(64bit)                        libcom_err-1.43.4-4.fc27.x86_64
├─libkrb5.so.3()(64bit)                           krb5-libs-1.15.1-21.fc27.x86_64
├─libk5crypto.so.3()(64bit)                       krb5-libs-1.15.1-21.fc27.x86_64
├─libgssapi_krb5.so.2()(64bit)                    krb5-libs-1.15.1-21.fc27.x86_64
├─libcap.so.2()(64bit)                            libcap-2.25-7.fc27.x86_64
├─libGeoIP.so.1()(64bit)                          GeoIP-1.6.11-1.fc27.x86_64
├─libdns.so.168()(64bit)                          bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
├─libisc.so.166()(64bit)                          bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
├─libisccfg.so.160()(64bit)                       bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
├─bind-license = 32:9.11.1-4.P3.fc27              bind-license-32:9.11.1-4.P3.fc27.noarch
└─bind-libs-lite(x86-64) = 32:9.11.1-4.P3.fc27    bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64         
├─rtld(GNU_HASH)                                  glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                              glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                        glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                              zlib-1.2.11-4.fc27.x86_64
├─libc.so.6(GLIBC_2.15)(64bit)                    glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libxml2.so.2()(64bit)                           libxml2-2.9.4-4.fc27.x86_64
├─libpthread.so.0(GLIBC_2.3.2)(64bit)             glibc-2.26-1.fc27.1.x86_64
├─libcrypto.so.1.1()(64bit)                       openssl-libs-1:1.1.0f-9.fc27.x86_64
├─libcrypto.so.1.1(OPENSSL_1_1_0)(64bit)          openssl-libs-1:1.1.0f-9.fc27.x86_64
├─libxml2.so.2(LIBXML2_2.6.0)(64bit)              libxml2-2.9.4-4.fc27.x86_64
├─liblzma.so.5()(64bit)                           xz-libs-5.2.3-4.fc27.x86_64
├─libcom_err.so.2()(64bit)                        libcom_err-1.43.4-4.fc27.x86_64
├─libkrb5.so.3()(64bit)                           krb5-libs-1.15.1-21.fc27.x86_64
├─libk5crypto.so.3()(64bit)                       krb5-libs-1.15.1-21.fc27.x86_64
├─libgssapi_krb5.so.2()(64bit)                    krb5-libs-1.15.1-21.fc27.x86_64
├─libcap.so.2()(64bit)                            libcap-2.25-7.fc27.x86_64
├─libgssapi_krb5.so.2(gssapi_krb5_2_MIT)(64bit)   krb5-libs-1.15.1-21.fc27.x86_64
├─libkrb5.so.3(krb5_3_MIT)(64bit)                 krb5-libs-1.15.1-21.fc27.x86_64
├─libGeoIP.so.1()(64bit)                          GeoIP-1.6.11-1.fc27.x86_64
└─bind-license = 32:9.11.1-4.P3.fc27              bind-license-32:9.11.1-4.P3.fc27.noarch
bind-license-32:9.11.1-4.P3.fc27.noarch           
bind-pkcs11-32:9.11.1-4.P3.fc27.x86_64            
