INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                  MATCH
freeipa-client-4.5.2-4.fc27.i686                                      
├─rtld(GNU_HASH)                                                      glibc-2.26-1.fc27.1.i686
├─libpthread.so.0                                                     glibc-2.26-1.fc27.1.i686
├─libpthread.so.0(GLIBC_2.0)                                          glibc-2.26-1.fc27.1.i686
├─libdl.so.2                                                          glibc-2.26-1.fc27.1.i686
├─libcrypto.so.1.1                                                    openssl-libs-1:1.1.0f-9.fc27.i686
├─/usr/bin/python2                                                    python2-2.7.13-12.fc27.i686
├─libc.so.6(GLIBC_2.8)                                                glibc-2.26-1.fc27.1.i686
├─libcom_err.so.2                                                     libcom_err-1.43.4-4.fc27.i686
├─libkrb5.so.3                                                        krb5-libs-1.15.1-21.fc27.i686
├─libnspr4.so                                                         nspr-4.16.0-1.fc27.i686
├─libnss3.so                                                          nss-3.32.0-2.fc27.i686
├─libk5crypto.so.3                                                    krb5-libs-1.15.1-21.fc27.i686
├─libpopt.so.0                                                        popt-1.16-11.fc27.i686
├─libplc4.so                                                          nspr-4.16.0-1.fc27.i686
├─liblber-2.4.so.2                                                    openldap-2.4.45-3.fc27.i686
├─libplds4.so                                                         nspr-4.16.0-1.fc27.i686
├─libssl3.so                                                          nss-3.32.0-2.fc27.i686
├─libsmime3.so                                                        nss-3.32.0-2.fc27.i686
├─libnssutil3.so                                                      nss-util-3.32.0-2.fc27.i686
├─libsasl2.so.3                                                       cyrus-sasl-lib-2.1.26-34.fc27.i686
├─libpopt.so.0(LIBPOPT_0)                                             popt-1.16-11.fc27.i686
├─libkrb5.so.3(krb5_3_MIT)                                            krb5-libs-1.15.1-21.fc27.i686
├─curl                                                                curl-minimal-7.55.0-1.fc27.i686
├─initscripts                                                         initscripts-9.72-1.fc27.i686
├─libldap_r-2.4.so.2                                                  openldap-2.4.45-3.fc27.i686
├─libk5crypto.so.3(k5crypto_3_MIT)                                    krb5-libs-1.15.1-21.fc27.i686
├─libxmlrpc.so.3                                                      xmlrpc-c-1.48.0-5.fc27.i686
├─libxmlrpc_util.so.4                                                 xmlrpc-c-1.48.0-5.fc27.i686
├─nss-tools                                                           nss-tools-3.32.0-2.fc27.i686
├─python-ldap                                                         python-ldap-2.4.25-4.fc27.i686
├─libbasicobjects.so.0                                                libbasicobjects-0.1.1-30.fc26.i686
├─libcollection.so.4                                                  libcollection-0.7.0-30.fc26.i686
├─libref_array.so.1                                                   libref_array-0.1.5-30.fc26.i686
├─libxmlrpc_client.so.3                                               xmlrpc-c-client-1.48.0-5.fc27.i686
├─bind-utils                                                          bind-utils-32:9.11.1-4.P3.fc27.i686
├─libini_config.so.5                                                  libini_config-1.3.0-30.fc26.i686
├─nfs-utils                                                           nfs-utils-1:2.1.1-6.rc5.fc27.i686
├─ntp                                                                 ntp-4.2.8p10-1.fc27.i686
├─authconfig                                                          authconfig-7.0.1-1.fc27.i686
├─libnfsidmap                                                         libnfsidmap-0.27-1.fc26.i686
├─libini_config.so.5(INI_CONFIG_1.1.0)                                libini_config-1.3.0-30.fc26.i686
├─python-sssdconfig                                                   python2-sssdconfig-1.15.3-0.beta.5.fc27.noarch
├─cyrus-sasl-gssapi(x86-32)                                           cyrus-sasl-gssapi-2.1.26-34.fc27.i686
├─autofs                                                              autofs-1:5.1.3-2.fc27.i686
├─libsss_autofs                                                       libsss_autofs-1.15.3-0.beta.5.fc27.i686
├─oddjob-mkhomedir                                                    oddjob-mkhomedir-0.34.4-1.fc26.i686
├─freeipa-common = 4.5.2-4.fc27                                       freeipa-common-4.5.2-4.fc27.noarch
├─freeipa-client-common = 4.5.2-4.fc27                                freeipa-client-common-4.5.2-4.fc27.noarch
├─python-gssapi >= 1.2.0-5                                            python-gssapi-1.2.0-5.fc27.i686
├─python2-ipaclient = 4.5.2-4.fc27                                    python2-ipaclient-4.5.2-4.fc27.noarch
├─certmonger >= 0.78                                                  certmonger-0.79.3-1.fc26.i686
├─krb5-workstation >= 1.15.1-7                                        krb5-workstation-1.15.1-21.fc27.i686
├─libcurl >= 7.21.7-2                                                 libcurl-minimal-7.55.0-1.fc27.i686
├─sssd >= 1.14.0                                                      sssd-1.15.3-0.beta.5.fc27.i686
└─xmlrpc-c >= 1.27.4                                                  xmlrpc-c-1.48.0-5.fc27.i686
freeipa-client-common-4.5.2-4.fc27.noarch                             
freeipa-common-4.5.2-4.fc27.noarch                                    
freeipa-desktop-profile-0.0.5-4.fc27.noarch                           
├─/bin/sh                                                             bash-4.4.12-9.fc27.i686
├─python(abi) = 2.7                                                   python2-2.7.13-12.fc27.i686
├─freeipa-server-common >= 4.4.1                                      freeipa-server-common-4.5.2-4.fc27.noarch
├─python2-ipaclient >= 4.4.1                                          python2-ipaclient-4.5.2-4.fc27.noarch
└─python2-ipaserver >= 4.4.1                                          python2-ipaserver-4.5.2-4.fc27.noarch
freeipa-python-compat-4.5.2-4.fc27.noarch                             
├─freeipa-common = 4.5.2-4.fc27                                       freeipa-common-4.5.2-4.fc27.noarch
└─python2-ipalib = 4.5.2-4.fc27                                       python2-ipalib-4.5.2-4.fc27.noarch
freeipa-server-4.5.2-4.fc27.i686                                      
├─rtld(GNU_HASH)                                                      glibc-2.26-1.fc27.1.i686
├─libpthread.so.0                                                     glibc-2.26-1.fc27.1.i686
├─libgcc_s.so.1                                                       libgcc-7.1.1-7.fc27.1.i686
├─libgcc_s.so.1(GCC_3.0)                                              libgcc-7.1.1-7.fc27.1.i686
├─libpthread.so.0(GLIBC_2.0)                                          glibc-2.26-1.fc27.1.i686
├─libdl.so.2                                                          glibc-2.26-1.fc27.1.i686
├─libcrypto.so.1.1                                                    openssl-libs-1:1.1.0f-9.fc27.i686
├─libcrypto.so.1.1(OPENSSL_1_1_0)                                     openssl-libs-1:1.1.0f-9.fc27.i686
├─/usr/bin/python2                                                    python2-2.7.13-12.fc27.i686
├─libc.so.6(GLIBC_2.8)                                                glibc-2.26-1.fc27.1.i686
├─libgcc_s.so.1(GCC_3.3.1)                                            libgcc-7.1.1-7.fc27.1.i686
├─libuuid.so.1                                                        libuuid-2.30.1-1.fc27.i686
├─python                                                              python2-2.7.13-12.fc27.i686
├─libcom_err.so.2                                                     libcom_err-1.43.4-4.fc27.i686
├─libkrb5.so.3                                                        krb5-libs-1.15.1-21.fc27.i686
├─libnspr4.so                                                         nspr-4.16.0-1.fc27.i686
├─libnss3.so                                                          nss-3.32.0-2.fc27.i686
├─libk5crypto.so.3                                                    krb5-libs-1.15.1-21.fc27.i686
├─libplc4.so                                                          nspr-4.16.0-1.fc27.i686
├─liblber-2.4.so.2                                                    openldap-2.4.45-3.fc27.i686
├─libplds4.so                                                         nspr-4.16.0-1.fc27.i686
├─libssl3.so                                                          nss-3.32.0-2.fc27.i686
├─libsmime3.so                                                        nss-3.32.0-2.fc27.i686
├─libnssutil3.so                                                      nss-util-3.32.0-2.fc27.i686
├─libuuid.so.1(UUID_1.0)                                              libuuid-2.30.1-1.fc27.i686
├─libnss3.so(NSS_3.2)                                                 nss-3.32.0-2.fc27.i686
├─libkrb5.so.3(krb5_3_MIT)                                            krb5-libs-1.15.1-21.fc27.i686
├─openssl                                                             openssl-1:1.1.0f-9.fc27.i686
├─libnss3.so(NSS_3.3)                                                 nss-3.32.0-2.fc27.i686
├─libtalloc.so.2                                                      libtalloc-2.1.9-2.fc27.i686
├─libtalloc.so.2(TALLOC_2.0.2)                                        libtalloc-2.1.9-2.fc27.i686
├─tar                                                                 tar-2:1.29-7.fc27.i686
├─libnss3.so(NSS_3.4)                                                 nss-3.32.0-2.fc27.i686
├─gzip                                                                gzip-1.8-4.fc27.i686
├─libldap_r-2.4.so.2                                                  openldap-2.4.45-3.fc27.i686
├─libtevent.so.0                                                      libtevent-0.9.32-1.fc27.i686
├─mod_wsgi                                                            mod_wsgi-4.5.15-2.fc27.i686
├─libsamba-util.so.0                                                  samba-client-libs-2:4.7.0-0.5.rc1.fc27.i686
├─libsamba-util.so.0(SAMBA_UTIL_0.0.1)                                samba-client-libs-2:4.7.0-0.5.rc1.fc27.i686
