INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                  MATCH
freeipa-client-common-4.5.2-4.fc27.noarch                             
freeipa-server-4.5.2-4.fc27.ppc64                                     
├─rtld(GNU_HASH)                                                      glibc-2.25.90-27.fc27.ppc64
├─libpthread.so.0()(64bit)                                            glibc-2.25.90-27.fc27.ppc64
├─libgcc_s.so.1()(64bit)                                              libgcc-7.1.1-6.fc27.ppc64
├─libgcc_s.so.1(GCC_3.0)(64bit)                                       libgcc-7.1.1-6.fc27.ppc64
├─libpthread.so.0(GLIBC_2.3)(64bit)                                   glibc-2.25.90-27.fc27.ppc64
├─libdl.so.2()(64bit)                                                 glibc-2.25.90-27.fc27.ppc64
├─libcrypto.so.1.1()(64bit)                                           openssl-libs-1:1.1.0f-7.fc27.ppc64
├─/usr/bin/python2                                                    python2-2.7.13-12.fc27.ppc64
├─libcrypto.so.1.1(OPENSSL_1_1_0)(64bit)                              openssl-libs-1:1.1.0f-7.fc27.ppc64
├─libc.so.6(GLIBC_2.8)(64bit)                                         glibc-2.25.90-27.fc27.ppc64
├─libgcc_s.so.1(GCC_3.3.1)(64bit)                                     libgcc-7.1.1-6.fc27.ppc64
├─libuuid.so.1()(64bit)                                               libuuid-2.30-1.fc27.ppc64
├─libcom_err.so.2()(64bit)                                            libcom_err-1.43.4-2.fc26.ppc64
├─python                                                              python2-2.7.13-12.fc27.ppc64
├─libkrb5.so.3()(64bit)                                               krb5-libs-1.15.1-14.fc27.ppc64
├─libnspr4.so()(64bit)                                                nspr-4.15.0-1.fc27.ppc64
├─libnss3.so()(64bit)                                                 nss-3.31.0-2.fc27.ppc64
├─libk5crypto.so.3()(64bit)                                           krb5-libs-1.15.1-14.fc27.ppc64
├─libplc4.so()(64bit)                                                 nspr-4.15.0-1.fc27.ppc64
├─liblber-2.4.so.2()(64bit)                                           openldap-2.4.45-1.fc27.ppc64
├─libplds4.so()(64bit)                                                nspr-4.15.0-1.fc27.ppc64
├─libssl3.so()(64bit)                                                 nss-3.31.0-2.fc27.ppc64
├─libsmime3.so()(64bit)                                               nss-3.31.0-2.fc27.ppc64
├─libnssutil3.so()(64bit)                                             nss-util-3.31.0-2.fc27.ppc64
├─libuuid.so.1(UUID_1.0)(64bit)                                       libuuid-2.30-1.fc27.ppc64
├─libnss3.so(NSS_3.2)(64bit)                                          nss-3.31.0-2.fc27.ppc64
├─libkrb5.so.3(krb5_3_MIT)(64bit)                                     krb5-libs-1.15.1-14.fc27.ppc64
├─openssl                                                             openssl-1:1.1.0f-7.fc27.ppc64
├─libnss3.so(NSS_3.3)(64bit)                                          nss-3.31.0-2.fc27.ppc64
├─libtalloc.so.2()(64bit)                                             libtalloc-2.1.9-2.fc27.ppc64
├─libtalloc.so.2(TALLOC_2.0.2)(64bit)                                 libtalloc-2.1.9-2.fc27.ppc64
├─tar                                                                 tar-2:1.29-4.fc26.ppc64
├─gzip                                                                gzip-1.8-2.fc26.ppc64
├─libnss3.so(NSS_3.4)(64bit)                                          nss-3.31.0-2.fc27.ppc64
├─libldap_r-2.4.so.2()(64bit)                                         openldap-2.4.45-1.fc27.ppc64
├─libtevent.so.0()(64bit)                                             libtevent-0.9.32-1.fc27.ppc64
├─mod_wsgi                                                            mod_wsgi-4.5.15-2.fc27.ppc64
├─libsamba-util.so.0()(64bit)                                         samba-client-libs-2:4.7.0-0.5.rc1.fc27.ppc64
├─libsamba-util.so.0(SAMBA_UTIL_0.0.1)(64bit)                         samba-client-libs-2:4.7.0-0.5.rc1.fc27.ppc64
├─libk5crypto.so.3(k5crypto_3_MIT)(64bit)                             krb5-libs-1.15.1-14.fc27.ppc64
├─libndr.so.0()(64bit)                                                samba-client-libs-2:4.7.0-0.5.rc1.fc27.ppc64
├─fontawesome-fonts                                                   fontawesome-fonts-4.7.0-2.fc26.noarch
├─libndr.so.0(NDR_0.0.1)(64bit)                                       samba-client-libs-2:4.7.0-0.5.rc1.fc27.ppc64
├─libndr-standard.so.0()(64bit)                                       samba-client-libs-2:4.7.0-0.5.rc1.fc27.ppc64
