INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                  MATCH
authconfig-7.0.1-1.fc27.src                                           
├─python3-devel                                                       python3-devel-3.6.2-6.fc27.x86_64
├─gettext                                                             gettext-0.19.8.1-9.fc27.x86_64
├─intltool                                                            intltool-0.51.0-8.fc26.noarch
└─glib2-devel                                                         glib2-devel-2.53.5-1.fc27.x86_64
autofs-1:5.1.3-2.fc27.src                                             
├─autoconf                                                            autoconf-2.69-24.fc26.noarch
├─gcc                                                                 gcc-7.1.1-7.fc27.1.x86_64
├─openssl-devel                                                       openssl-devel-1:1.1.0f-9.fc27.x86_64
├─libxml2-devel                                                       libxml2-devel-2.9.4-4.fc27.x86_64
├─flex                                                                flex-2.6.1-3.fc26.x86_64
├─bison                                                               bison-3.0.4-6.fc26.x86_64
├─systemd-units                                                       systemd-234-5.fc27.x86_64
├─openldap-devel                                                      openldap-devel-2.4.45-3.fc27.x86_64
├─cyrus-sasl-devel                                                    cyrus-sasl-devel-2.1.26-34.fc27.x86_64
├─util-linux                                                          util-linux-2.30.1-1.fc27.x86_64
├─e2fsprogs                                                           e2fsprogs-1.43.4-4.fc27.x86_64
├─libtirpc-devel                                                      libtirpc-devel-1.0.2-3.fc28.x86_64
├─hesiod-devel                                                        hesiod-devel-3.2.1-7.fc26.x86_64
├─module-init-tools                                                   kmod-24-3.fc27.x86_64
└─libsss_autofs                                                       libsss_autofs-1.15.3-0.beta.5.fc27.x86_64
autogen-5.18.12-3.fc27.src                                            
├─perl-generators                                                     perl-generators-1.10-5.fc27.noarch
├─libtool                                                             libtool-2.4.6-20.fc27.x86_64
├─libxml2-devel                                                       libxml2-devel-2.9.4-4.fc27.x86_64
└─guile-devel                                                         guile-devel-5:2.0.14-3.fc27.x86_64
bind-dyndb-ldap-11.1-4.fc27.src                                       
├─libtool                                                             libtool-2.4.6-20.fc27.x86_64
├─autoconf                                                            autoconf-2.69-24.fc26.noarch
├─automake                                                            automake-1.15-9.fc26.noarch
├─libuuid-devel                                                       libuuid-devel-2.30.1-1.fc27.x86_64
├─openldap-devel                                                      openldap-devel-2.4.45-3.fc27.x86_64
├─krb5-devel                                                          krb5-devel-1.15.1-21.fc27.x86_64
├─bind-devel >= 32:9.11.1-1.P1                                        bind-devel-32:9.11.1-4.P3.fc27.x86_64
├─bind-lite-devel >= 32:9.11.1-1.P1                                   bind-lite-devel-32:9.11.1-4.P3.fc27.x86_64
└─bind-pkcs11-devel >= 32:9.11.1-1.P1                                 bind-pkcs11-devel-32:9.11.1-4.P3.fc27.x86_64
certmonger-0.79.3-1.fc26.src                                          
├─openssl-devel                                                       openssl-devel-1:1.1.0f-9.fc27.x86_64
├─libxml2-devel                                                       libxml2-devel-2.9.4-4.fc27.x86_64
├─systemd-units                                                       systemd-234-5.fc27.x86_64
├─libcurl-devel                                                       libcurl-devel-7.55.0-1.fc27.x86_64
├─libuuid-devel                                                       libuuid-devel-2.30.1-1.fc27.x86_64
├─dbus-devel                                                          dbus-devel-1:1.11.14-1.fc27.x86_64
├─openldap-devel                                                      openldap-devel-2.4.45-3.fc27.x86_64
├─nss-devel                                                           nss-devel-3.32.0-2.fc27.x86_64
├─openssl                                                             openssl-1:1.1.0f-9.fc27.x86_64
├─libidn-devel                                                        libidn-devel-1.33-4.fc27.x86_64
├─nspr-devel                                                          nspr-devel-4.16.0-1.fc27.x86_64
├─dbus-python                                                         dbus-python-1.2.4-6.fc26.x86_64
├─diffutils                                                           diffutils-3.6-3.fc27.x86_64
├─libtalloc-devel                                                     libtalloc-devel-2.1.9-2.fc27.x86_64
├─expect                                                              expect-5.45-25.fc27.x86_64
├─libtevent-devel                                                     libtevent-devel-0.9.32-1.fc27.x86_64
├─xmlrpc-c-devel                                                      xmlrpc-c-devel-1.48.0-5.fc27.x86_64
├─/usr/bin/dos2unix                                                   dos2unix-7.3.5-1.fc27.x86_64
├─mktemp                                                              coreutils-8.27-14.fc27.x86_64
├─/usr/include/popt.h                                                 popt-devel-1.16-11.fc27.x86_64
├─/usr/bin/dbus-launch                                                dbus-x11-1:1.11.14-1.fc27.x86_64
├─nss-tools                                                           nss-tools-3.32.0-2.fc27.x86_64
├─/usr/bin/unix2dos                                                   dos2unix-7.3.5-1.fc27.x86_64
├─/usr/bin/which                                                      which-2.21-4.fc27.x86_64
└─bind-libbind-devel                                                  bind-libs-lite-32:9.11.1-4.P3.fc27.x86_64
custodia-0.5.0-3.fc27.src                                             
├─python2-devel                                                       python2-devel-2.7.13-16.fc27.x86_64
├─python3-devel                                                       python3-devel-3.6.2-6.fc27.x86_64
├─systemd                                                             systemd-234-5.fc27.x86_64
