INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                  MATCH
gssproxy-0.7.0-10.fc27.ppc64le                        
├─rtld(GNU_HASH)                                      glibc-2.26-1.fc27.1.ppc64le
├─libc.so.6(GLIBC_2.17)(64bit)                        glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0()(64bit)                            glibc-2.26-1.fc27.1.ppc64le
├─libpthread.so.0(GLIBC_2.17)(64bit)                  glibc-2.26-1.fc27.1.ppc64le
├─ld64.so.2()(64bit)                                  glibc-2.26-1.fc27.1.ppc64le
├─ld64.so.2(GLIBC_2.22)(64bit)                        glibc-2.26-1.fc27.1.ppc64le
├─libcom_err.so.2()(64bit)                            libcom_err-1.43.4-4.fc27.ppc64le
├─libkrb5.so.3()(64bit)                               krb5-libs-1.15.1-21.fc27.ppc64le
├─libselinux.so.1()(64bit)                            libselinux-2.7-1.fc27.ppc64le
├─libk5crypto.so.3()(64bit)                           krb5-libs-1.15.1-21.fc27.ppc64le
├─libpopt.so.0()(64bit)                               popt-1.16-11.fc27.ppc64le
├─libgssapi_krb5.so.2()(64bit)                        krb5-libs-1.15.1-21.fc27.ppc64le
├─libpopt.so.0(LIBPOPT_0)(64bit)                      popt-1.16-11.fc27.ppc64le
├─libgssapi_krb5.so.2(gssapi_krb5_2_MIT)(64bit)       krb5-libs-1.15.1-21.fc27.ppc64le
├─libkrb5.so.3(krb5_3_MIT)(64bit)                     krb5-libs-1.15.1-21.fc27.ppc64le
├─libk5crypto.so.3(k5crypto_3_MIT)(64bit)             krb5-libs-1.15.1-21.fc27.ppc64le
├─libbasicobjects.so.0()(64bit)                       libbasicobjects-0.1.1-30.fc26.ppc64le
├─libcollection.so.4()(64bit)                         libcollection-0.7.0-30.fc26.ppc64le
├─libref_array.so.1()(64bit)                          libref_array-0.1.5-30.fc26.ppc64le
├─libini_config.so.5()(64bit)                         libini_config-1.3.0-30.fc26.ppc64le
├─libverto.so.1()(64bit)                              libverto-0.2.6-11.fc27.ppc64le
├─keyutils-libs                                       keyutils-libs-1.5.10-3.fc27.ppc64le
├─libgssrpc.so.4()(64bit)                             krb5-libs-1.15.1-21.fc27.ppc64le
├─libgssrpc.so.4(gssrpc_4_MIT)(64bit)                 krb5-libs-1.15.1-21.fc27.ppc64le
├─libini_config.so.5(INI_CONFIG_1.1.0)(64bit)         libini_config-1.3.0-30.fc26.ppc64le
├─libref_array.so.1(REF_ARRAY_0.1.1)(64bit)           libref_array-0.1.5-30.fc26.ppc64le
├─libverto-module-base                                libverto-libev-0.2.6-11.fc27.ppc64le
├─libini_config                                       libini_config-1.3.0-30.fc26.ppc64le
├─libini_config.so.5(INI_CONFIG_1.2.0)(64bit)         libini_config-1.3.0-30.fc26.ppc64le
