INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
ding-libs-0.6.0-30.fc26.src                       
├─libtool                                         libtool-2.4.6-20.fc27.s390x
├─autoconf                                        autoconf-2.69-24.fc26.noarch
├─automake                                        automake-1.15-9.fc26.noarch
├─pkgconfig                                       pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─doxygen                                         doxygen-1:1.8.13-10.fc27.s390x
├─m4                                              m4-1.4.18-3.fc26.s390x
└─check-devel                                     check-devel-0.11.0-2.fc26.s390x
gssproxy-0.7.0-10.fc27.src                        
├─libtool                                         libtool-2.4.6-20.fc27.s390x
├─autoconf                                        autoconf-2.69-24.fc26.noarch
├─findutils                                       findutils-1:4.6.0-14.fc27.s390x
├─automake                                        automake-1.15-9.fc26.noarch
├─pkgconfig                                       pkgconf-pkg-config-1.3.8-1.fc27.s390x
├─doxygen                                         doxygen-1:1.8.13-10.fc27.s390x
├─gettext-devel                                   gettext-devel-0.19.8.1-9.fc27.s390x
├─systemd-units                                   systemd-234-5.fc27.s390x
├─libxslt                                         libxslt-1.1.29-2.fc27.s390x
├─docbook-style-xsl                               docbook-style-xsl-1.79.2-4.fc26.noarch
├─libselinux-devel                                libselinux-devel-2.7-1.fc27.s390x
├─m4                                              m4-1.4.18-3.fc26.s390x
├─popt-devel                                      popt-devel-1.16-11.fc27.s390x
├─libxml2                                         libxml2-2.9.4-4.fc27.s390x
├─keyutils-libs-devel                             keyutils-libs-devel-1.5.10-3.fc27.s390x
├─libverto-devel                                  libverto-devel-0.2.6-11.fc27.s390x
├─krb5-devel >= 1.12.0                            krb5-devel-1.15.1-21.fc27.s390x
└─libini_config-devel >= 1.2.0                    libini_config-devel-1.3.0-30.fc26.s390x
words-3.0-26.fc26.src                             
├─dos2unix                                        dos2unix-7.3.5-1.fc27.s390x
└─grep                                            grep-3.1-3.fc27.s390x
autoconf-2.69-24.fc26.noarch                      
├─perl(strict)                                    perl-libs-4:5.26.0-398.fc27.s390x
├─perl(warnings)                                  perl-libs-4:5.26.0-398.fc27.s390x
├─perl(Carp)                                      perl-Carp-1.42-394.fc27.noarch
├─perl(Exporter)                                  perl-Exporter-5.72-395.fc27.noarch
├─perl(vars)                                      perl-interpreter-4:5.26.0-398.fc27.s390x
├─/usr/bin/perl                                   perl-interpreter-4:5.26.0-398.fc27.s390x
├─perl(constant)                                  perl-constant-1.33-395.fc27.noarch
├─perl(Getopt::Long)                              perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl(File::Spec)                                perl-PathTools-3.67-395.fc27.s390x
├─perl(POSIX)                                     perl-interpreter-4:5.26.0-398.fc27.s390x
├─perl(File::Basename)                            perl-interpreter-4:5.26.0-398.fc27.s390x
├─perl(Data::Dumper)                              perl-Data-Dumper-2.167-396.fc27.s390x
