INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                           MATCH
perl-4:5.26.0-399.fc28.aarch64                                 
├─perl(:MODULE_COMPAT_5.26.0)                                  perl-libs-4:5.26.0-399.fc28.aarch64
├─perl-Encode                                                  perl-Encode-4:2.92-14.fc27.aarch64
├─perl-Digest-SHA                                              perl-Digest-SHA-1:5.96-396.fc27.aarch64
├─perl-Module-CoreList                                         perl-Module-CoreList-1:5.20170821-1.fc28.noarch
├─perl-Socket                                                  perl-Socket-4:2.024-5.fc27.aarch64
├─perl-Time-HiRes                                              perl-Time-HiRes-1.9746-1.fc28.aarch64
├─perl-ExtUtils-MakeMaker                                      perl-ExtUtils-MakeMaker-1:7.30-2.fc27.noarch
├─perl-Storable                                                perl-Storable-1:2.62-395.fc27.aarch64
├─perl-macros                                                  perl-macros-4:5.26.0-399.fc28.aarch64
├─perl-CPAN-Meta                                               perl-CPAN-Meta-2.150010-394.fc27.noarch
├─perl-Carp                                                    perl-Carp-1.42-394.fc27.noarch
├─perl-Compress-Raw-Bzip2                                      perl-Compress-Raw-Bzip2-2.074-396.fc27.aarch64
├─perl-Compress-Raw-Zlib                                       perl-Compress-Raw-Zlib-2.074-396.fc27.aarch64
├─perl-DB_File                                                 perl-DB_File-1.840-396.fc27.aarch64
├─perl-Data-Dumper                                             perl-Data-Dumper-2.167-396.fc27.aarch64
├─perl-Devel-PPPort                                            perl-Devel-PPPort-3.36-4.fc27.aarch64
├─perl-Digest-MD5                                              perl-Digest-MD5-2.55-395.fc27.aarch64
├─perl-Errno                                                   perl-Errno-1.28-399.fc28.aarch64
├─perl-Exporter                                                perl-Exporter-5.72-395.fc27.noarch
├─perl-ExtUtils-ParseXS                                        perl-ExtUtils-ParseXS-1:3.35-1.fc27.noarch
├─perl-Filter                                                  perl-Filter-2:1.57-6.fc27.aarch64
├─perl-IPC-SysV                                                perl-IPC-SysV-2.07-396.fc27.aarch64
├─perl-MIME-Base64                                             perl-MIME-Base64-3.15-395.fc27.aarch64
├─perl-Math-BigInt-FastCalc                                    perl-Math-BigInt-FastCalc-0.500.600-5.fc27.aarch64
├─perl-Net-Ping                                                perl-Net-Ping-2.55-399.fc28.noarch
├─perl-PathTools                                               perl-PathTools-3.67-395.fc27.aarch64
├─perl-Pod-Perldoc                                             perl-Pod-Perldoc-3.28-395.fc27.noarch
├─perl-Scalar-List-Utils                                       perl-Scalar-List-Utils-3:1.48-1.fc27.aarch64
├─perl-Sys-Syslog                                              perl-Sys-Syslog-0.35-396.fc27.aarch64
├─perl-Test-Harness                                            perl-Test-Harness-1:3.39-4.fc27.noarch
├─perl-Time-Piece                                              perl-Time-Piece-1.31-399.fc28.aarch64
├─perl-Unicode-Collate                                         perl-Unicode-Collate-1.19-395.fc27.aarch64
├─perl-Unicode-Normalize                                       perl-Unicode-Normalize-1.25-395.fc27.aarch64
├─perl-constant                                                perl-constant-1.33-395.fc27.noarch
├─perl-threads                                                 perl-threads-1:2.16-4.fc27.aarch64
├─perl-threads-shared                                          perl-threads-shared-1.57-4.fc27.aarch64
├─perl-version                                                 perl-version-6:0.99.18-5.fc27.aarch64
├─perl-Archive-Tar                                             perl-Archive-Tar-2.26-4.fc27.noarch
├─perl-Attribute-Handlers                                      perl-Attribute-Handlers-0.99-399.fc28.noarch
├─perl-B-Debug                                                 perl-B-Debug-1.25-2.fc27.noarch
├─perl-CPAN                                                    perl-CPAN-2.18-395.fc27.noarch
├─perl-CPAN-Meta-Requirements                                  perl-CPAN-Meta-Requirements-2.140-395.fc27.noarch
├─perl-CPAN-Meta-YAML                                          perl-CPAN-Meta-YAML-0.018-395.fc27.noarch
├─perl-Config-Perl-V                                           perl-Config-Perl-V-0.28-395.fc27.noarch
├─perl-Devel-Peek                                              perl-Devel-Peek-1.26-399.fc28.aarch64
├─perl-Devel-SelfStubber                                       perl-Devel-SelfStubber-1.06-399.fc28.noarch
├─perl-Digest                                                  perl-Digest-1.17-394.fc27.noarch
├─perl-Env                                                     perl-Env-1.04-394.fc27.noarch
├─perl-ExtUtils-CBuilder                                       perl-ExtUtils-CBuilder-1:0.280226-2.fc27.noarch
├─perl-ExtUtils-Command                                        perl-ExtUtils-Command-1:7.30-2.fc27.noarch
├─perl-ExtUtils-Embed                                          perl-ExtUtils-Embed-1.34-399.fc28.noarch
├─perl-ExtUtils-Install                                        perl-ExtUtils-Install-2.14-3.fc27.noarch
├─perl-ExtUtils-Manifest                                       perl-ExtUtils-Manifest-1.70-394.fc27.noarch
├─perl-ExtUtils-Miniperl                                       perl-ExtUtils-Miniperl-1.06-399.fc28.noarch
├─perl-File-Fetch                                              perl-File-Fetch-0.52-394.fc27.noarch
├─perl-File-Path                                               perl-File-Path-2.15-1.fc27.noarch
├─perl-File-Temp                                               perl-File-Temp-0.230.400-394.fc27.noarch
├─perl-Filter-Simple                                           perl-Filter-Simple-0.94-1.fc27.noarch
├─perl-Getopt-Long                                             perl-Getopt-Long-1:2.50-3.fc27.noarch
├─perl-HTTP-Tiny                                               perl-HTTP-Tiny-0.070-394.fc27.noarch
├─perl-IO                                                      perl-IO-1.38-399.fc28.aarch64
├─perl-IO-Compress                                             perl-IO-Compress-2.074-395.fc27.noarch
├─perl-IO-Socket-IP                                            perl-IO-Socket-IP-0.39-4.fc27.noarch
├─perl-IO-Zlib                                                 perl-IO-Zlib-1:1.10-399.fc28.noarch
├─perl-IPC-Cmd                                                 perl-IPC-Cmd-2:0.98-4.fc27.noarch
├─perl-JSON-PP                                                 perl-JSON-PP-1:2.94-4.fc27.noarch
├─perl-Locale-Codes                                            perl-Locale-Codes-3.53-1.fc27.noarch
├─perl-Locale-Maketext                                         perl-Locale-Maketext-1.28-395.fc27.noarch
├─perl-Locale-Maketext-Simple                                  perl-Locale-Maketext-Simple-1:0.21-399.fc28.noarch
├─perl-Math-BigInt                                             perl-Math-BigInt-1:1.9998.11-4.fc27.noarch
├─perl-Math-BigRat                                             perl-Math-BigRat-0.2613-2.fc27.noarch
├─perl-Math-Complex                                            perl-Math-Complex-1.59-399.fc28.noarch
├─perl-Memoize                                                 perl-Memoize-1.03-399.fc28.noarch
├─perl-Module-CoreList-tools                                   perl-Module-CoreList-tools-1:5.20170821-1.fc28.noarch
├─perl-Module-Load                                             perl-Module-Load-1:0.32-394.fc27.noarch
├─perl-Module-Load-Conditional                                 perl-Module-Load-Conditional-0.68-394.fc27.noarch
├─perl-Module-Loaded                                           perl-Module-Loaded-1:0.08-399.fc28.noarch
├─perl-Module-Metadata                                         perl-Module-Metadata-1.000033-394.fc27.noarch
├─perl-Params-Check                                            perl-Params-Check-1:0.38-394.fc27.noarch
├─perl-Perl-OSType                                             perl-Perl-OSType-1.010-395.fc27.noarch
├─perl-PerlIO-via-QuotedPrint                                  perl-PerlIO-via-QuotedPrint-0.08-394.fc27.noarch
├─perl-Pod-Checker                                             perl-Pod-Checker-4:1.73-394.fc27.noarch
