INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                    MATCH
jakarta-commons-httpclient-1:3.1-27.fc27.src                            
├─maven-local                                                           maven-local-5.0.0-7.fc28.noarch
├─ant                                                                   ant-1.10.1-7.fc27.noarch
├─junit                                                                 junit-1:4.12-7.fc27.noarch
├─java-javadoc                                                          java-1.8.0-openjdk-javadoc-1:1.8.0.144-4.b01.fc28.noarch
├─apache-commons-codec                                                  apache-commons-codec-1.10-5.fc27.noarch
├─apache-commons-logging-javadoc                                        apache-commons-logging-javadoc-1.2-11.fc27.noarch
└─apache-commons-logging >= 1.0.3                                       apache-commons-logging-1.2-11.fc27.noarch
javassist-3.18.1-7.fc27.src                                             
├─maven-local                                                           maven-local-5.0.0-7.fc28.noarch
├─mvn(junit:junit)                                                      junit-1:4.12-7.fc27.noarch
├─mvn(org.apache.felix:maven-bundle-plugin)                             maven-plugin-bundle-3.3.0-2.fc27.noarch
└─mvn(org.apache.maven.plugins:maven-source-plugin)                     maven-source-plugin-3.0.1-3.fc27.noarch
ldapjdk-4.19-1.fc27.src                                                 
├─java-devel                                                            java-1.8.0-openjdk-devel-1:1.8.0.144-4.b01.fc28.x86_64
├─ant                                                                   ant-1.10.1-7.fc27.noarch
├─jss                                                                   jss-4.4.2-4.fc27.x86_64
└─jpackage-utils >= 1.5                                                 javapackages-tools-5.0.0-7.fc28.noarch
net-tools-2.0-0.44.20160912git.fc27.src                                 
├─gettext                                                               gettext-0.19.8.1-11.fc27.x86_64
├─systemd-units                                                         systemd-234-5.fc27.x86_64
├─libselinux-devel                                                      libselinux-devel-2.7-3.fc28.x86_64
├─bluez-libs-devel                                                      bluez-libs-devel-5.46-3.fc27.x86_64
└─libselinux                                                            libselinux-2.7-3.fc28.x86_64
nuxwdog-1.0.3-11.fc27.src                                               
├─perl-generators                                                       perl-generators-1.10-6.fc27.noarch
├─perl(ExtUtils::MakeMaker)                                             perl-ExtUtils-MakeMaker-1:7.30-2.fc27.noarch
├─pkgconfig                                                             pkgconf-pkg-config-1.3.8-1.fc27.x86_64
├─perl-devel                                                            perl-devel-4:5.26.0-399.fc28.x86_64
├─ant                                                                   ant-1.10.1-7.fc27.noarch
├─jpackage-utils                                                        javapackages-tools-5.0.0-7.fc28.noarch
├─libselinux-devel                                                      libselinux-devel-2.7-3.fc28.x86_64
├─nss-devel                                                             nss-devel-3.32.0-3.fc28.x86_64
├─nspr-devel                                                            nspr-devel-4.16.0-1.fc27.x86_64
├─keyutils-libs-devel                                                   keyutils-libs-devel-1.5.10-3.fc27.x86_64
└─java-devel >= 1:1.6.0                                                 java-1.8.0-openjdk-devel-1:1.8.0.144-4.b01.fc28.x86_64
pki-core-10.4.8-5.fc28.src                                              
├─python3-devel                                                         python3-devel-3.6.2-11.fc27.x86_64
├─zlib-devel                                                            zlib-devel-1.2.11-4.fc27.x86_64
├─python-devel                                                          python2-devel-2.7.13-17.fc27.x86_64
├─pkgconfig                                                             pkgconf-pkg-config-1.3.8-1.fc27.x86_64
├─systemd                                                               systemd-234-5.fc27.x86_64
├─gcc-c++                                                               gcc-c++-7.1.1-7.fc27.1.x86_64
├─python-sphinx                                                         python2-sphinx-1.6.3-2.fc27.noarch
├─python3-six                                                           python3-six-1.10.0-11.fc28.noarch
├─python                                                                python2-2.7.13-17.fc27.x86_64
├─systemd-units                                                         systemd-234-5.fc27.x86_64
├─python-six                                                            python2-six-1.10.0-11.fc28.noarch
├─pcre-devel                                                            pcre-devel-8.41-1.fc27.2.x86_64
├─junit                                                                 junit-1:4.12-7.fc27.noarch
├─openldap-devel                                                        openldap-devel-2.4.45-3.fc27.x86_64
├─zlib                                                                  zlib-1.2.11-4.fc27.x86_64
├─zip                                                                   zip-3.0-20.fc27.x86_64
├─cyrus-sasl-devel                                                      cyrus-sasl-devel-2.1.26-34.fc27.x86_64
├─python-lxml                                                           python2-lxml-3.8.0-1.fc27.x86_64
├─python3-lxml                                                          python3-lxml-3.8.0-1.fc27.x86_64
├─nspr-devel                                                            nspr-devel-4.16.0-1.fc27.x86_64
├─xerces-j2                                                             xerces-j2-2.11.0-29.fc27.noarch
├─apr-devel                                                             apr-devel-1.6.2-3.fc27.x86_64
├─apache-commons-codec                                                  apache-commons-codec-1.10-5.fc27.noarch
├─apache-commons-lang                                                   apache-commons-lang-2.6-20.fc27.noarch
├─slf4j                                                                 slf4j-1.7.25-2.fc27.noarch
├─apache-commons-cli                                                    apache-commons-cli-1.4-2.fc27.noarch
├─xalan-j2                                                              xalan-j2-2.7.1-32.fc27.noarch
├─apr-util-devel                                                        apr-util-devel-1.6.0-1.fc28.x86_64
├─java-1.8.0-openjdk-devel                                              java-1.8.0-openjdk-devel-1:1.8.0.144-4.b01.fc28.x86_64
├─redhat-rpm-config                                                     redhat-rpm-config-67-1.fc27.noarch
├─python3-cryptography                                                  python3-cryptography-2.0.2-2.fc27.x86_64
├─jakarta-commons-httpclient                                            jakarta-commons-httpclient-1:3.1-27.fc27.noarch
├─apache-commons-io                                                     apache-commons-io-1:2.5-3.fc27.noarch
├─pylint                                                                pylint-1.7.2-1.fc27.noarch
├─ldapjdk                                                               ldapjdk-4.19-1.fc27.noarch
├─policycoreutils                                                       policycoreutils-2.7-3.fc28.x86_64
├─python2-cryptography                                                  python2-cryptography-2.0.2-2.fc27.x86_64
├─velocity                                                              velocity-1.7-21.fc27.noarch
├─svrcore-devel                                                         svrcore-devel-4.1.3-3.fc27.x86_64
├─jboss-logging                                                         jboss-logging-3.3.0-3.fc27.noarch
├─python-ldap                                                           python2-ldap-2.4.25-7.fc28.x86_64
├─python-nss                                                            python2-nss-1.0.1-5.fc28.x86_64
├─jboss-jaxrs-2.0-api                                                   jboss-jaxrs-2.0-api-1.0.0-5.fc27.noarch
├─libselinux-python                                                     python2-libselinux-2.7-3.fc28.x86_64
├─jboss-annotations-1.2-api                                             jboss-annotations-1.2-api-1.0.0-3.fc27.noarch
├─policycoreutils-python                                                python2-policycoreutils-2.7-3.fc28.x86_64
├─policycoreutils-python-utils                                          policycoreutils-python-utils-2.7-3.fc28.x86_64
├─python3-nss                                                           python3-nss-1.0.1-5.fc28.x86_64
├─python3-pyldap                                                        python3-pyldap-2.4.35.1-2.fc27.x86_64
├─slf4j-jdk14                                                           slf4j-jdk14-1.7.25-2.fc27.noarch
├─jpackage-utils >= 1.7.5-10                                            javapackages-tools-5.0.0-7.fc28.noarch
├─jss >= 4.4.2-2                                                        jss-4.4.2-4.fc27.x86_64
├─python3-requests >= 2.6.0                                             python3-requests-2.18.4-1.fc28.noarch
├─cmake >= 2.8.9-1                                                      cmake-3.9.1-2.fc28.x86_64
├─nss-devel >= 3.28.3                                                   nss-devel-3.32.0-3.fc28.x86_64
├─python-requests >= 2.6.0                                              python2-requests-2.18.4-1.fc28.noarch
