INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                                               MATCH
bcache-tools-1.0.8-10.fc27.armv7hl                                                 
├─rtld(GNU_HASH)                                                                   glibc-2.26.90-9.fc28.armv7hl
├─libgcc_s.so.1                                                                    libgcc-7.1.1-7.fc27.1.armv7hl
├─libgcc_s.so.1(GCC_3.5)                                                           libgcc-7.1.1-7.fc27.1.armv7hl
├─ld-linux-armhf.so.3                                                              glibc-2.26.90-9.fc28.armv7hl
├─ld-linux-armhf.so.3(GLIBC_2.4)                                                   glibc-2.26.90-9.fc28.armv7hl
├─/usr/bin/env                                                                     coreutils-8.27-16.fc28.armv7hl
├─/bin/bash                                                                        bash-4.4.12-10.fc28.armv7hl
├─libc.so.6(GLIBC_2.8)                                                             glibc-2.26.90-9.fc28.armv7hl
├─libuuid.so.1                                                                     libuuid-2.30.1-5.fc27.armv7hl
├─libuuid.so.1(UUID_1.0)                                                           libuuid-2.30.1-5.fc27.armv7hl
├─python3                                                                          python3-3.6.2-11.fc27.armv7hl
├─libblkid.so.1                                                                    libblkid-2.30.1-5.fc27.armv7hl
├─libblkid.so.1(BLKID_2.17)                                                        libblkid-2.30.1-5.fc27.armv7hl
├─libblkid.so.1(BLKID_2.15)                                                        libblkid-2.30.1-5.fc27.armv7hl
└─libblkid >= 2.24                                                                 libblkid-2.30.1-5.fc27.armv7hl
ceph-1:12.1.4-3.fc28.armv7hl                                                       
├─systemd                                                                          systemd-234-5.fc27.armv7hl
├─ceph-mds = 1:12.1.4-3.fc28                                                       ceph-mds-1:12.1.4-3.fc28.armv7hl
├─ceph-mgr = 1:12.1.4-3.fc28                                                       ceph-mgr-1:12.1.4-3.fc28.armv7hl
├─ceph-mon = 1:12.1.4-3.fc28                                                       ceph-mon-1:12.1.4-3.fc28.armv7hl
└─ceph-osd = 1:12.1.4-3.fc28                                                       ceph-osd-1:12.1.4-3.fc28.armv7hl
ceph-base-1:12.1.4-3.fc28.armv7hl                                                  
├─rtld(GNU_HASH)                                                                   glibc-2.26.90-9.fc28.armv7hl
├─libgcc_s.so.1                                                                    libgcc-7.1.1-7.fc27.1.armv7hl
├─libgcc_s.so.1(GCC_3.5)                                                           libgcc-7.1.1-7.fc27.1.armv7hl
├─ld-linux-armhf.so.3                                                              glibc-2.26.90-9.fc28.armv7hl
├─ld-linux-armhf.so.3(GLIBC_2.4)                                                   glibc-2.26.90-9.fc28.armv7hl
├─libm.so.6                                                                        glibc-2.26.90-9.fc28.armv7hl
├─libpthread.so.0                                                                  glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6                                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(CXXABI_1.3)                                                       libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4)                                                      libstdc++-7.1.1-7.fc27.1.armv7hl
├─libpthread.so.0(GLIBC_2.4)                                                       glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(CXXABI_ARM_1.3.3)                                                 libstdc++-7.1.1-7.fc27.1.armv7hl
├─libm.so.6(GLIBC_2.4)                                                             glibc-2.26.90-9.fc28.armv7hl
├─libdl.so.2                                                                       glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.21)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libz.so.1                                                                        zlib-1.2.11-4.fc27.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.9)                                                    libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.11)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.20)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(CXXABI_1.3.8)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.15)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─/usr/bin/env                                                                     coreutils-8.27-16.fc28.armv7hl
├─libdl.so.2(GLIBC_2.4)                                                            glibc-2.26.90-9.fc28.armv7hl
├─librt.so.1                                                                       glibc-2.26.90-9.fc28.armv7hl
├─/bin/bash                                                                        bash-4.4.12-10.fc28.armv7hl
├─libc.so.6(GLIBC_2.17)                                                            glibc-2.26.90-9.fc28.armv7hl
├─libresolv.so.2                                                                   glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.14)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.18)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libgcc_s.so.1(GCC_3.4)                                                           libgcc-7.1.1-7.fc27.1.armv7hl
├─python                                                                           python2-2.7.13-17.fc27.armv7hl
├─libnspr4.so                                                                      nspr-4.16.0-1.fc27.armv7hl
├─libplc4.so                                                                       nspr-4.16.0-1.fc27.armv7hl
├─libnss3.so                                                                       nss-3.32.0-3.fc28.armv7hl
├─libplds4.so                                                                      nspr-4.16.0-1.fc27.armv7hl
├─libssl3.so                                                                       nss-3.32.0-3.fc28.armv7hl
├─python-setuptools                                                                python2-setuptools-36.2.0-7.fc28.noarch
├─libsmime3.so                                                                     nss-3.32.0-3.fc28.armv7hl
├─libnssutil3.so                                                                   nss-util-3.32.0-2.fc27.armv7hl
├─python-requests                                                                  python2-requests-2.18.4-1.fc28.noarch
├─libpthread.so.0(GLIBC_2.12)                                                      glibc-2.26.90-9.fc28.armv7hl
├─util-linux                                                                       util-linux-2.30.1-5.fc27.armv7hl
├─grep                                                                             grep-3.1-3.fc27.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.5)                                                    libstdc++-7.1.1-7.fc27.1.armv7hl
├─libblkid.so.1                                                                    libblkid-2.30.1-5.fc27.armv7hl
├─logrotate                                                                        logrotate-3.12.3-3.fc27.armv7hl
├─findutils                                                                        findutils-1:4.6.0-14.fc27.armv7hl
├─libsnappy.so.1                                                                   snappy-1.1.7-1.fc28.armv7hl
├─which                                                                            which-2.21-4.fc27.armv7hl
├─libstdc++.so.6(CXXABI_1.3.7)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─psmisc                                                                           psmisc-23.1-2.fc27.armv7hl
├─xfsprogs                                                                         xfsprogs-4.12.0-4.fc27.armv7hl
├─cryptsetup                                                                       cryptsetup-1.7.5-5.fc28.armv7hl
├─libceph-common.so.0                                                              librados2-1:12.1.4-3.fc28.armv7hl
├─/usr/bin/python2.7                                                               python2-2.7.13-17.fc27.armv7hl
├─liblttng-ust.so.0                                                                lttng-ust-2.10.0-2.fc28.armv7hl
├─python(abi) = 2.7                                                                python2-2.7.13-17.fc27.armv7hl
├─librados2 = 1:12.1.4-3.fc28                                                      librados2-1:12.1.4-3.fc28.armv7hl
├─librbd1 = 1:12.1.4-3.fc28                                                        librbd1-1:12.1.4-3.fc28.armv7hl
├─libcephfs2 = 1:12.1.4-3.fc28                                                     libcephfs2-1:12.1.4-3.fc28.armv7hl
├─librgw2 = 1:12.1.4-3.fc28                                                        librgw2-1:12.1.4-3.fc28.armv7hl
├─ceph-common = 1:12.1.4-3.fc28                                                    ceph-common-1:12.1.4-3.fc28.armv7hl
└─ceph-selinux = 1:12.1.4-3.fc28                                                   ceph-selinux-1:12.1.4-3.fc28.armv7hl
ceph-common-1:12.1.4-3.fc28.armv7hl                                                
├─rtld(GNU_HASH)                                                                   glibc-2.26.90-9.fc28.armv7hl
├─libgcc_s.so.1                                                                    libgcc-7.1.1-7.fc27.1.armv7hl
├─libgcc_s.so.1(GCC_3.5)                                                           libgcc-7.1.1-7.fc27.1.armv7hl
├─ld-linux-armhf.so.3                                                              glibc-2.26.90-9.fc28.armv7hl
├─ld-linux-armhf.so.3(GLIBC_2.4)                                                   glibc-2.26.90-9.fc28.armv7hl
├─libm.so.6                                                                        glibc-2.26.90-9.fc28.armv7hl
├─libpthread.so.0                                                                  glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6                                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(CXXABI_1.3)                                                       libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4)                                                      libstdc++-7.1.1-7.fc27.1.armv7hl
├─libpthread.so.0(GLIBC_2.4)                                                       glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(CXXABI_ARM_1.3.3)                                                 libstdc++-7.1.1-7.fc27.1.armv7hl
├─libm.so.6(GLIBC_2.4)                                                             glibc-2.26.90-9.fc28.armv7hl
├─libdl.so.2                                                                       glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(CXXABI_1.3.9)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.21)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libz.so.1                                                                        zlib-1.2.11-4.fc27.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.9)                                                    libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.11)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.20)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(CXXABI_1.3.8)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.15)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─/usr/bin/env                                                                     coreutils-8.27-16.fc28.armv7hl
├─libdl.so.2(GLIBC_2.4)                                                            glibc-2.26.90-9.fc28.armv7hl
├─librt.so.1                                                                       glibc-2.26.90-9.fc28.armv7hl
├─/bin/bash                                                                        bash-4.4.12-10.fc28.armv7hl
├─librt.so.1(GLIBC_2.4)                                                            glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(CXXABI_1.3.1)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─libcurl.so.4                                                                     libcurl-minimal-7.55.1-3.fc28.armv7hl
├─libresolv.so.2                                                                   glibc-2.26.90-9.fc28.armv7hl
├─libexpat.so.1                                                                    expat-2.2.4-1.fc28.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.14)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.18)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libgcc_s.so.1(GCC_3.4)                                                           libgcc-7.1.1-7.fc27.1.armv7hl
├─libnspr4.so                                                                      nspr-4.16.0-1.fc27.armv7hl
├─libudev.so.1                                                                     systemd-libs-234-5.fc27.armv7hl
├─libplc4.so                                                                       nspr-4.16.0-1.fc27.armv7hl
├─libnss3.so                                                                       nss-3.32.0-3.fc28.armv7hl
├─libplds4.so                                                                      nspr-4.16.0-1.fc27.armv7hl
├─libstdc++.so.6(CXXABI_1.3.5)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─libssl3.so                                                                       nss-3.32.0-3.fc28.armv7hl
├─liblber-2.4.so.2                                                                 openldap-2.4.45-3.fc27.armv7hl
├─libc.so.6(GLIBC_2.16)                                                            glibc-2.26.90-9.fc28.armv7hl
├─libldap-2.4.so.2                                                                 openldap-2.4.45-3.fc27.armv7hl
├─libsmime3.so                                                                     nss-3.32.0-3.fc28.armv7hl
├─libnssutil3.so                                                                   nss-util-3.32.0-2.fc27.armv7hl
├─python-requests                                                                  python2-requests-2.18.4-1.fc28.noarch
├─libstdc++.so.6(GLIBCXX_3.4.19)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libudev.so.1(LIBUDEV_183)                                                        systemd-libs-234-5.fc27.armv7hl
├─libresolv.so.2(GLIBC_2.4)                                                        glibc-2.26.90-9.fc28.armv7hl
├─libpthread.so.0(GLIBC_2.12)                                                      glibc-2.26.90-9.fc28.armv7hl
├─libstdc++.so.6(GLIBCXX_3.4.22)                                                   libstdc++-7.1.1-7.fc27.1.armv7hl
├─libnss3.so(NSS_3.2)                                                              nss-3.32.0-3.fc28.armv7hl
├─libblkid.so.1                                                                    libblkid-2.30.1-5.fc27.armv7hl
├─libnss3.so(NSS_3.3)                                                              nss-3.32.0-3.fc28.armv7hl
├─libfuse.so.2                                                                     fuse-libs-2.9.7-9.fc27.armv7hl
├─libaio.so.1                                                                      libaio-0.3.110-9.fc27.armv7hl
├─libtcmalloc.so.4                                                                 gperftools-libs-2.6.1-3.fc27.armv7hl
├─libsnappy.so.1                                                                   snappy-1.1.7-1.fc28.armv7hl
├─libstdc++.so.6(CXXABI_1.3.7)                                                     libstdc++-7.1.1-7.fc27.1.armv7hl
├─libblkid.so.1(BLKID_2.17)                                                        libblkid-2.30.1-5.fc27.armv7hl
├─python-prettytable                                                               python2-prettytable-0.7.2-12.fc28.noarch
├─libkeyutils.so.1                                                                 keyutils-libs-1.5.10-3.fc27.armv7hl
├─libresolv.so.2(GLIBC_2.9)                                                        glibc-2.26.90-9.fc28.armv7hl
├─librados.so.2                                                                    librados2-1:12.1.4-3.fc28.armv7hl
├─libnss3.so(NSS_3.12.9)                                                           nss-3.32.0-3.fc28.armv7hl
