INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                                      MATCH
hfsplus-tools-540.1.linux3-12.fc26.x86_64                 
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                                glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)                     glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.3.2)(64bit)                     glibc-2.26-1.fc27.1.x86_64
├─libcrypto.so.1.1()(64bit)                               openssl-libs-1:1.1.0f-9.fc27.x86_64
└─libcrypto.so.1.1(OPENSSL_1_1_0)(64bit)                  openssl-libs-1:1.1.0f-9.fc27.x86_64
mdadm-4.0-3.fc27.x86_64                                   
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                                glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)                     glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                                     glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.15)(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                          glibc-2.26-1.fc27.1.x86_64
├─/bin/bash                                               bash-4.4.12-9.fc27.x86_64
└─libreport-filesystem                                    libreport-filesystem-2.9.1-2.fc27.x86_64
bcache-tools-1.0.8-8.fc26.x86_64                          
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─/usr/bin/env                                            coreutils-8.27-14.fc27.x86_64
├─/bin/bash                                               bash-4.4.12-9.fc27.x86_64
├─libuuid.so.1()(64bit)                                   libuuid-2.30.1-1.fc27.x86_64
├─libuuid.so.1(UUID_1.0)(64bit)                           libuuid-2.30.1-1.fc27.x86_64
├─python3                                                 python3-3.6.2-6.fc27.x86_64
├─libc.so.6(GLIBC_2.8)(64bit)                             glibc-2.26-1.fc27.1.x86_64
├─libblkid.so.1()(64bit)                                  libblkid-2.30.1-1.fc27.x86_64
├─libblkid.so.1(BLKID_2.15)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
├─libblkid.so.1(BLKID_2.17)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
└─libblkid >= 2.24                                        libblkid-2.30.1-1.fc27.x86_64
parted-3.2-26.fc27.x86_64                                 
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                                     glibc-2.26-1.fc27.1.x86_64
├─libtinfo.so.6()(64bit)                                  ncurses-libs-6.0-13.20170722.fc27.x86_64
├─libreadline.so.7()(64bit)                               readline-7.0-7.fc27.x86_64
├─libuuid.so.1()(64bit)                                   libuuid-2.30.1-1.fc27.x86_64
├─libselinux.so.1()(64bit)                                libselinux-2.7-1.fc27.x86_64
├─libuuid.so.1(UUID_1.0)(64bit)                           libuuid-2.30.1-1.fc27.x86_64
├─libblkid.so.1()(64bit)                                  libblkid-2.30.1-1.fc27.x86_64
├─libdevmapper.so.1.02()(64bit)                           device-mapper-libs-1.02.142-4.fc27.x86_64
├─libdevmapper.so.1.02(Base)(64bit)                       device-mapper-libs-1.02.142-4.fc27.x86_64
├─libdevmapper.so.1.02(DM_1_02_97)(64bit)                 device-mapper-libs-1.02.142-4.fc27.x86_64
├─libblkid.so.1(BLKID_2.15)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
├─libblkid.so.1(BLKID_2.17)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
└─libsepol.so.1()(64bit)                                  libsepol-2.7-1.fc27.x86_64
dosfstools-4.1-2.fc26.x86_64                              
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
└─libc.so.6(GLIBC_2.14)(64bit)                            glibc-2.26-1.fc27.1.x86_64
ceph-1:10.2.7-2.fc27.x86_64                               
├─systemd                                                 systemd-234-3.fc27.x86_64
├─ceph-mds = 1:10.2.7-2.fc27                              ceph-mds-1:10.2.7-2.fc27.x86_64
├─ceph-mon = 1:10.2.7-2.fc27                              ceph-mon-1:10.2.7-2.fc27.x86_64
└─ceph-osd = 1:10.2.7-2.fc27                              ceph-osd-1:10.2.7-2.fc27.x86_64
dmraid-1.0.0.rc16-31.fc26.x86_64                          
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libc.so.6(GLIBC_2.14)(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                                     glibc-2.26-1.fc27.1.x86_64
├─/bin/bash                                               bash-4.4.12-9.fc27.x86_64
├─systemd                                                 systemd-234-3.fc27.x86_64
├─libselinux.so.1()(64bit)                                libselinux-2.7-1.fc27.x86_64
├─libdevmapper.so.1.02()(64bit)                           device-mapper-libs-1.02.142-4.fc27.x86_64
├─libdevmapper.so.1.02(Base)(64bit)                       device-mapper-libs-1.02.142-4.fc27.x86_64
├─libdevmapper.so.1.02(DM_1_02_97)(64bit)                 device-mapper-libs-1.02.142-4.fc27.x86_64
├─libsepol.so.1()(64bit)                                  libsepol-2.7-1.fc27.x86_64
├─kpartx                                                  kpartx-0.7.1-3.gitf21166a.fc27.x86_64
├─libdevmapper.so.1.02(DM_1_02_103)(64bit)                device-mapper-libs-1.02.142-4.fc27.x86_64
├─libdevmapper-event.so.1.02()(64bit)                     device-mapper-event-libs-1.02.142-4.fc27.x86_64
├─libdevmapper-event.so.1.02(Base)(64bit)                 device-mapper-event-libs-1.02.142-4.fc27.x86_64
├─dmraid-events                                           dmraid-events-1.0.0.rc16-31.fc26.x86_64
└─device-mapper >= 1.02.02-2                              device-mapper-1.02.142-4.fc27.x86_64
libreport-filesystem-2.9.1-2.fc27.x86_64                  
systemd-234-3.fc27.x86_64                                 
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                                      glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                                glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1()(64bit)                                  libgcc-7.1.1-7.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.0)(64bit)                           libgcc-7.1.1-7.fc27.1.x86_64
├─libpthread.so.0(GLIBC_2.2.5)(64bit)                     glibc-2.26-1.fc27.1.x86_64
├─libdl.so.2()(64bit)                                     glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                                      zlib-1.2.11-4.fc27.x86_64
├─libdl.so.2(GLIBC_2.2.5)(64bit)                          glibc-2.26-1.fc27.1.x86_64
├─librt.so.1()(64bit)                                     glibc-2.26-1.fc27.1.x86_64
├─/bin/bash                                               bash-4.4.12-9.fc27.x86_64
├─libcrypt.so.1()(64bit)                                  libcrypt-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2()(64bit)                           glibc-2.26-1.fc27.1.x86_64
├─ld-linux-x86-64.so.2(GLIBC_2.3)(64bit)                  glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1(GCC_3.3.1)(64bit)                         libgcc-7.1.1-7.fc27.1.x86_64
├─libbz2.so.1()(64bit)                                    bzip2-libs-1.0.6-24.fc27.x86_64
├─liblzma.so.5()(64bit)                                   xz-libs-5.2.3-4.fc27.x86_64
├─libselinux.so.1()(64bit)                                libselinux-2.7-1.fc27.x86_64
├─libgcrypt.so.20()(64bit)                                libgcrypt-1.7.8-3.fc27.x86_64
├─libpam.so.0()(64bit)                                    pam-1.3.0-5.fc27.x86_64
├─libgpg-error.so.0()(64bit)                              libgpg-error-1.27-3.fc27.x86_64
├─libcrypt.so.1(GLIBC_2.2.5)(64bit)                       libcrypt-2.26-1.fc27.1.x86_64
├─libpam.so.0(LIBPAM_1.0)(64bit)                          pam-1.3.0-5.fc27.x86_64
├─libgcrypt.so.20(GCRYPT_1.6)(64bit)                      libgcrypt-1.7.8-3.fc27.x86_64
├─libm.so.6(GLIBC_2.15)(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libcap.so.2()(64bit)                                    libcap-2.25-7.fc27.x86_64
├─libacl.so.1()(64bit)                                    libacl-2.2.52-18.fc27.x86_64
├─util-linux                                              util-linux-2.30.1-1.fc27.x86_64
├─liblzma.so.5(XZ_5.0)(64bit)                             xz-libs-5.2.3-4.fc27.x86_64
├─libelf.so.1()(64bit)                                    elfutils-libelf-0.170-1.fc27.x86_64
├─libacl.so.1(ACL_1.0)(64bit)                             libacl-2.2.52-18.fc27.x86_64
├─libblkid.so.1()(64bit)                                  libblkid-2.30.1-1.fc27.x86_64
├─libaudit.so.1()(64bit)                                  audit-libs-2.7.7-5.fc27.x86_64
├─libseccomp.so.2()(64bit)                                libseccomp-2.3.2-5.fc27.x86_64
├─libc.so.6(GLIBC_2.25)(64bit)                            glibc-2.26-1.fc27.1.x86_64
├─libelf.so.1(ELFUTILS_1.0)(64bit)                        elfutils-libelf-0.170-1.fc27.x86_64
├─libidn.so.11()(64bit)                                   libidn-1.33-4.fc27.x86_64
├─liblz4.so.1()(64bit)                                    lz4-libs-1.7.5-6.fc27.x86_64
├─libidn.so.11(LIBIDN_1.0)(64bit)                         libidn-1.33-4.fc27.x86_64
├─libgpg-error.so.0(GPG_ERROR_1.0)(64bit)                 libgpg-error-1.27-3.fc27.x86_64
├─libblkid.so.1(BLKID_2.15)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
├─libblkid.so.1(BLKID_2.17)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
├─libdw.so.1()(64bit)                                     elfutils-libs-0.170-1.fc27.x86_64
├─libmount.so.1()(64bit)                                  libmount-2.30.1-1.fc27.x86_64
├─libcryptsetup.so.4()(64bit)                             cryptsetup-libs-1.7.5-3.fc27.x86_64
├─libcryptsetup.so.4(CRYPTSETUP_1.0)(64bit)               cryptsetup-libs-1.7.5-3.fc27.x86_64
├─libdw.so.1(ELFUTILS_0.122)(64bit)                       elfutils-libs-0.170-1.fc27.x86_64
├─libkmod.so.2()(64bit)                                   kmod-libs-24-3.fc27.x86_64
├─libmount.so.1(MOUNT_2.19)(64bit)                        libmount-2.30.1-1.fc27.x86_64
├─librt.so.1(GLIBC_2.3.4)(64bit)                          glibc-2.26-1.fc27.1.x86_64
├─libkmod.so.2(LIBKMOD_5)(64bit)                          kmod-libs-24-3.fc27.x86_64
├─libdw.so.1(ELFUTILS_0.130)(64bit)                       elfutils-libs-0.170-1.fc27.x86_64
├─libdw.so.1(ELFUTILS_0.158)(64bit)                       elfutils-libs-0.170-1.fc27.x86_64
├─libmount.so.1(MOUNT_2.20)(64bit)                        libmount-2.30.1-1.fc27.x86_64
├─libqrencode.so.3()(64bit)                               qrencode-libs-3.4.4-3.fc27.x86_64
├─libip4tc.so.0()(64bit)                                  iptables-libs-1.6.1-4.fc27.x86_64
├─libblkid.so.1(BLKID_2.18)(64bit)                        libblkid-2.30.1-1.fc27.x86_64
├─libmount.so.1(MOUNT_2.26)(64bit)                        libmount-2.30.1-1.fc27.x86_64
├─dbus >= 1.9.18                                          dbus-1:1.11.16-4.fc27.x86_64
├─systemd-pam = 234-3.fc27                                systemd-pam-234-3.fc27.x86_64
└─systemd-libs = 234-3.fc27                               systemd-libs-234-3.fc27.x86_64
info-6.4-3.fc27.x86_64                                    
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libz.so.1()(64bit)                                      zlib-1.2.11-4.fc27.x86_64
├─libc.so.6(GLIBC_2.15)(64bit)                            glibc-2.26-1.fc27.1.x86_64
└─libtinfo.so.6()(64bit)                                  ncurses-libs-6.0-13.20170722.fc27.x86_64
ceph-mds-1:10.2.7-2.fc27.x86_64                           
├─rtld(GNU_HASH)                                          glibc-2.26-1.fc27.1.x86_64
├─libm.so.6()(64bit)                                      glibc-2.26-1.fc27.1.x86_64
├─libpthread.so.0()(64bit)                                glibc-2.26-1.fc27.1.x86_64
├─libgcc_s.so.1()(64bit)                                  libgcc-7.1.1-7.fc27.1.x86_64
├─libstdc++.so.6()(64bit)                                 libstdc++-7.1.1-7.fc27.1.x86_64
