INFO:depchase:DEPENDENCY INFORMATION                                                          
INFO                                              MATCH
dyninst-9.3.2-2.fc27.src                          
├─cmake                                           cmake-3.8.2-1.fc27.x86_64
├─boost-devel                                     boost-devel-1.63.0-9.fc27.x86_64
├─gcc-c++                                         gcc-c++-7.1.1-6.fc27.x86_64
├─gcc-gfortran                                    gcc-gfortran-7.1.1-6.fc27.x86_64
├─glibc-static                                    glibc-static-2.25.90-27.fc27.x86_64
├─binutils-devel                                  binutils-devel-2.28-9.fc27.x86_64
├─elfutils-libelf-devel                           elfutils-libelf-devel-0.169-5.fc27.x86_64
├─libstdc++-static                                libstdc++-static-7.1.1-6.fc27.x86_64
├─nasm                                            nasm-2.13.01-1.fc27.x86_64
└─libdwarf-devel >= 20111030                      libdwarf-devel-20170709-1.fc27.x86_64
libdwarf-20170709-1.fc27.src                      
├─binutils-devel                                  binutils-devel-2.28-9.fc27.x86_64
└─elfutils-libelf-devel                           elfutils-libelf-devel-0.169-5.fc27.x86_64
binutils-devel-2.28-9.fc27.x86_64                 
├─coreutils                                       coreutils-8.27-10.fc27.x86_64
├─zlib-devel                                      zlib-devel-1.2.11-2.fc26.x86_64
└─binutils = 2.28-9.fc27                          binutils-2.28-9.fc27.x86_64
boost-devel-1.63.0-9.fc27.x86_64                  
├─libboost_system.so.1.63.0()(64bit)              boost-system-1.63.0-9.fc27.x86_64
├─libboost_filesystem.so.1.63.0()(64bit)          boost-filesystem-1.63.0-9.fc27.x86_64
├─libboost_regex.so.1.63.0()(64bit)               boost-regex-1.63.0-9.fc27.x86_64
├─libboost_date_time.so.1.63.0()(64bit)           boost-date-time-1.63.0-9.fc27.x86_64
├─libboost_program_options.so.1.63.0()(64bit)     boost-program-options-1.63.0-9.fc27.x86_64
├─libboost_chrono.so.1.63.0()(64bit)              boost-chrono-1.63.0-9.fc27.x86_64
├─libboost_iostreams.so.1.63.0()(64bit)           boost-iostreams-1.63.0-9.fc27.x86_64
├─libboost_atomic.so.1.63.0()(64bit)              boost-atomic-1.63.0-9.fc27.x86_64
├─libboost_serialization.so.1.63.0()(64bit)       boost-serialization-1.63.0-9.fc27.x86_64
├─libboost_python.so.1.63.0()(64bit)              boost-python-1.63.0-9.fc27.x86_64
├─libboost_random.so.1.63.0()(64bit)              boost-random-1.63.0-9.fc27.x86_64
├─libboost_signals.so.1.63.0()(64bit)             boost-signals-1.63.0-9.fc27.x86_64
├─libboost_locale.so.1.63.0()(64bit)              boost-locale-1.63.0-9.fc27.x86_64
├─libboost_unit_test_framework.so.1.63.0()(64bit) boost-test-1.63.0-9.fc27.x86_64
├─libboost_context.so.1.63.0()(64bit)             boost-context-1.63.0-9.fc27.x86_64
├─libboost_timer.so.1.63.0()(64bit)               boost-timer-1.63.0-9.fc27.x86_64
├─libboost_log.so.1.63.0()(64bit)                 boost-log-1.63.0-9.fc27.x86_64
├─libboost_wave.so.1.63.0()(64bit)                boost-wave-1.63.0-9.fc27.x86_64
